"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5488","TC-04: Login fails with an invalid password","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","6996","TC-01: Homepage loads successfully","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2717","TC-03: Authenticated session grants access and shows Sign out link","authenticated-chromium","2026-08-11","passed","2026-08-11","Redmine.org — authenticated flows","spec/authenticated.spec.ts","",""
"","4547","TC-05: User successfully logs out","authenticated-chromium","2026-08-11","passed","2026-08-11","Redmine.org — authenticated flows","spec/authenticated.spec.ts","",""
"","2541","TC-04: Login fails with an invalid password","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","3398","TC-04: Login fails with an invalid password","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","3856","TC-02: Unauthenticated user cannot access ""My account""","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2973","TC-02: Unauthenticated user cannot access ""My account""","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2924","TC-02: Unauthenticated user cannot access ""My account""","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2593","TC-01: Homepage loads successfully","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","5134","TC-01: Homepage loads successfully","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
